Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,1%,0.9826,0.9977,0.0000,0.0000%,0.9767,0.0892,0.0217,231.39,1.0x,0.9303,0.0000,0.9997,0.9853,0.0147,0.0003,0.9858,0.9846,0.0154,0.0138,0.9995,0.9821,0.0179,-0.0010,0.9987,1.0000,0.0000,0.0008,0.9983,0.9552,0.0448,-0.0002,0.9996,0.9825,0.0175,-0.0043,0.9993,0.9804,0.0196,0.0007,0.9994,0.9836,0.0164,0.0006,0.9991,0.9333,0.0500,0.0003,0.9998,0.9848,0.0152,-0.0007
gradient_ascent,42,1%,0.9831,0.9990,38.9313,132.4552%,0.9983,0.0068,0.0000,0.48,481.4x,0.9304,-0.0001,1.0000,1.0000,0.0000,0.0000,0.9996,1.0000,0.0000,0.0000,0.9985,1.0000,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9981,1.0000,0.0000,0.0000,0.9953,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9995,0.9833,0.0000,0.0000,0.9992,1.0000,0.0000,0.0000
first_epoch_reversal,42,1%,,0.9888,31.1153,109.0329%,0.9773,0.0852,0.0163,50.77,4.6x,0.8498,0.0024,0.9954,0.9829,0.0171,0.0036,0.9956,0.9847,0.0153,-0.0026,0.9600,0.9579,0.0316,0.0212,0.9990,0.9966,0.0034,-0.0027,0.9906,0.9755,0.0070,-0.0040,0.9840,0.9726,0.0240,0.0125,0.9977,0.9899,0.0101,-0.0012,0.9906,0.9714,0.0254,0.0066,0.9887,0.9659,0.0102,0.0031,0.9851,0.9749,0.0188,-0.0034
