method,delete_ratio,test_acc_mean,test_acc_std,retain_acc_mean,retain_acc_std,delete_acc_mean,delete_acc_std,delete_loss_mean,delete_loss_std,forgetting_score_mean,forgetting_score_std,time_seconds_mean,time_seconds_std,speedup_mean,speedup_std,l2_abs_mean,l2_abs_std,l2_rel_mean,l2_rel_std,mia_accuracy_mean,mia_accuracy_std,privacy_gain_mean,privacy_gain_std
Exact Retraining,0.01,0.31506666666666666,0.000850490054811555,0.9401414141414142,0.006239808546164349,0.32,0.02271563338320108,5.194858868916829,0.2255563569467937,0.6326666666666666,0.040463975747982626,290.21467661857605,93.57147986801141,1.0,0.0,0.0,0.0,0.0,0.0,0.7117733333333334,0.007032221081090458,0.0,0.0
Exact Retraining,0.05,0.3135666666666667,0.00890299575049505,0.9561333333333333,0.0029008611451075954,0.322,0.005106858133921481,5.099620715777079,0.07920380708655694,0.6317333333333334,0.008239741096256236,293.57079855600995,57.3061225069271,1.0,0.0,0.0,0.0,0.0,0.0,0.6947066666666667,0.005559364472071704,0.0,0.0
Exact Retraining,0.1,0.3123,0.004471017781221632,0.9564814814814815,0.004491216851431711,0.3103333333333333,0.009402836451482786,5.212876858087532,0.14172463834745394,0.6412666666666667,0.008922630404389374,276.0566922823588,56.16494055889286,1.0,0.0,0.0,0.0,0.0,0.0,0.6736400000000001,0.0056534237414154215,0.0,0.0
First-Epoch Reversal,0.01,,,0.676094276094276,0.0013740839333110085,0.35733333333333334,0.013316656236958766,2.7930929561456046,0.038381639912217595,,,59.64305901527405,14.030611953669624,4.91281588328847,1.5791128158266994,96.10600662231445,29.933699283487723,1.2406084403849842,0.26020280418148245,0.4776466666666666,0.001591519190375469,0.15069999999999997,0.0048903169631425835
First-Epoch Reversal,0.05,,,0.6786596491228071,0.005348956802358688,0.34719999999999995,0.012831211945876348,2.9034012675285346,0.04870127504471045,,,70.24436593055725,20.31715427888461,4.270563109978945,0.5379080981096047,112.79160817464192,2.869945877526337,1.0894894963072843,0.0019310038393220723,0.48297999999999996,0.0015670354175959086,0.13422,0.006222314681852696
First-Epoch Reversal,0.1,,,0.6753037037037037,0.015061509004676232,0.34213333333333334,0.01206040353111506,2.9245721071581294,0.08062175342529897,,,61.45834469795227,13.84956284090358,4.50967968932619,0.12561225821002972,111.95367431640625,0.05500534622938567,1.0902339212846082,0.0023201410828318576,0.49082,0.0019807069445023817,0.11312,0.0056451395022621125
Gradient Ascent,0.01,0.3161,0.0031480152477394384,0.949016835016835,0.01251241331738739,0.9500000000000001,0.015874507866387503,0.20979774308701357,0.05445557690870781,0.002666666666666669,0.003055050463303896,0.4385066032409668,0.06358808639512731,649.2873906781746,130.4240550786948,144.98744201660156,1.1186461879339396,1.3807230413700138,0.008411418715476193,0.7104266666666667,0.007107020003724033,0.0013466666666666811,0.0003113411847689295
Gradient Ascent,0.05,0.3081,0.0049507575177946146,0.926659649122807,0.02082051335934417,0.9273333333333333,0.023021149696167042,0.2813099234054486,0.07932502810235174,0.02639999999999998,0.011838918869558951,2.0958266258239746,0.35747575849467866,139.6293352491045,3.924525437677528,143.40445454915366,1.2044495494246463,1.3970066740842932,0.011236993782637851,0.6804800000000001,0.009546245335209041,0.014226666666666646,0.0059189638732917915
Gradient Ascent,0.1,0.21086666666666667,0.09373779031603707,0.6156444444444444,0.3040712400282961,0.6148666666666667,0.30835442810722424,4.148181328384937,4.990384355339526,0.33673333333333333,0.30530000545911123,4.32636562983195,0.6894663047820164,63.47756100098658,3.272258263175315,141.64276123046875,1.0121537946501713,1.4160472563397548,0.012936837081343924,0.6040800000000001,0.047327442356417296,0.06956000000000002,0.044424538264342145
