method,delete_ratio,test_acc_mean,test_acc_std,retain_acc_mean,retain_acc_std,delete_acc_mean,delete_acc_std,delete_loss_mean,delete_loss_std,forgetting_score_mean,forgetting_score_std,time_seconds_mean,time_seconds_std,speedup_mean,speedup_std,l2_abs_mean,l2_abs_std,l2_rel_mean,l2_rel_std,mia_accuracy_mean,mia_accuracy_std,privacy_gain_mean,privacy_gain_std
Exact Retraining,0.01,0.6398,0.008052328855678956,0.823117845117845,0.008546011714609137,0.6373333333333333,0.014047538337137011,1.2025829181075096,0.0541656314841116,0.1606666666666667,0.015275252316519484,316.4787173271179,1.3781310857604563,1.0,0.0,0.0,0.0,0.0,0.0,0.5734933333333333,0.006481121302161664,0.0,0.0
Exact Retraining,0.05,0.6370666666666667,0.0074191194446061514,0.8164070175438596,0.006894225238819998,0.6404,0.012126005112979323,1.177381079395612,0.06891218088735414,0.1705333333333334,0.004805552344250661,302.82271162668866,5.372939557483775,1.0,0.0,0.0,0.0,0.0,0.0,0.5678733333333333,0.005983521816901272,0.0,0.0
Exact Retraining,0.1,0.6402,0.0031192947920963723,0.8178000000000001,0.00698315433342582,0.6342666666666666,0.006706216021970504,1.218224020949899,0.041792949644149924,0.17559999999999998,0.002946183972531213,305.43183104197186,38.65901124656804,1.0,0.0,0.0,0.0,0.0,0.0,0.5599933333333333,0.0053695934048429775,0.0,0.0
First-Epoch Reversal,0.01,,,0.7180606060606061,0.0208896215411832,0.6273333333333334,0.03300505011863086,1.091454307238261,0.04900545995009401,,,68.82358932495117,0.9073682965464291,4.598789591438483,0.04508897524556485,30.69967269897461,0.4282982976164337,1.107836221235305,0.008545076313902644,0.50854,0.0077118350604769145,0.03904666666666664,0.009937652304912566
First-Epoch Reversal,0.05,,,0.7141122807017544,0.003972500114039993,0.628,0.009320944158184845,1.098954054216544,0.022538771766024136,,,65.74152127901714,0.7637940808276026,4.606105160214674,0.04048403744443323,30.619625091552734,1.0342362947251715,1.1071990542007033,0.00614641926952149,0.5100866666666667,0.0036375999413533,0.03380666666666673,0.0034690248389616925
First-Epoch Reversal,0.1,,,0.7205333333333334,0.01267742233409602,0.6333333333333333,0.009571485429824016,1.0838551659624285,0.04510278632064472,,,63.224591970443726,0.21792225554160605,4.830015550146455,0.5999607487577158,30.763413429260254,0.7367147736780565,1.1096111076875177,0.0004889672878467132,0.5102,0.002748745168254107,0.02822666666666666,0.0018927581285872928
Gradient Ascent,0.01,0.6307999999999999,0.008983874442577654,0.8004309764309765,0.008850475615115094,0.782,0.006928203230275515,0.6456002543369929,0.01327627210468513,0.016000000000000014,0.007211102550927985,0.4676693280537923,0.04106829611193791,680.1321922375281,58.48947331112211,39.72093963623047,0.5748468943937901,1.394119550576984,0.009326679017448165,0.57086,0.008973828614365202,0.0026333333333333395,0.0025306389180073186
Gradient Ascent,0.05,0.5132333333333333,0.03704056335064752,0.6165333333333334,0.05388505806731411,0.6126666666666667,0.06116774749272142,1.5482036992907524,0.5032387421041854,0.1982666666666667,0.07080602610889367,2.1712499459584556,0.02487543181478895,139.49270481376044,3.670896346157301,39.30411020914713,0.7016141261144024,1.4102513857517733,0.010037144915683199,0.5655133333333334,0.02088874657161926,0.0023600000000000287,0.015835769637122153
Gradient Ascent,0.1,0.151,0.006504613747179771,0.1590962962962963,0.002993188426199155,0.1577333333333333,0.004168133075290806,24.433703812868785,2.7111465015682334,0.6521333333333333,0.010735610524480346,5.353056987126668,1.5681289291625653,58.74952848204649,8.784035235569007,38.91542307535807,0.6384454650214434,1.4270565473047967,0.009938482672088526,0.7236333333333334,0.008908789667139604,-0.16364000000000004,0.013025713032306522
