method,delete_ratio,test_acc_mean,test_acc_std,retain_acc_mean,retain_acc_std,delete_acc_mean,delete_acc_std,delete_loss_mean,delete_loss_std,forgetting_score_mean,forgetting_score_std,time_seconds_mean,time_seconds_std,speedup_mean,speedup_std,l2_abs_mean,l2_abs_std,l2_rel_mean,l2_rel_std,mia_accuracy_mean,mia_accuracy_std,privacy_gain_mean,privacy_gain_std
Exact Retraining,0.01,0.9817666666666667,0.0008504900548115283,0.9971099887766554,0.0010405529479119557,0.9788888888888888,0.0025458753860865516,0.078731799435324,0.01046011350845697,0.02055555555555551,0.0019245008972987331,231.33129994074503,46.80285569913322,1.0,0.0,0.0,0.0,0.0,0.0,0.9319611111111111,0.002052730791824326,0.0,0.0
Exact Retraining,0.05,0.9824666666666667,0.0011060440015357958,0.9982748538011696,0.0012719399071994108,0.9796666666666667,0.0040414518843274,0.07920153142670945,0.00661984507907985,0.019555555555555548,0.004141032256352041,249.93998996416727,55.957841963641066,1.0,0.0,0.0,0.0,0.0,0.0,0.8967111111111111,0.001960819934316987,0.0,0.0
Exact Retraining,0.1,0.9818666666666666,0.0015143755588800968,0.9978641975308641,0.0013227892410790838,0.981,0.0013017082793177442,0.08057927995920594,0.006190327712474375,0.01794444444444443,0.0011097213530798988,268.2769962946574,11.171956871838807,1.0,0.0,0.0,0.0,0.0,0.0,0.8525055555555556,0.002135957587316462,0.0,0.0
First-Epoch Reversal,0.01,,,0.9899607182940516,0.0013871618007164912,0.9766666666666667,0.0028867513459481155,0.07161854207515717,0.008394115094645042,,,47.21562202771505,10.695784163950185,4.924188059146858,0.45746827568705795,30.836952845255535,0.5879737234516738,1.0907115094232325,0.026668015191051372,0.8847444444444444,0.00529597156476653,0.029438888888888865,0.007280803018389738
First-Epoch Reversal,0.05,,,0.9900760233918128,0.001041510453045062,0.9788888888888888,0.0012619796324000307,0.06927812710430815,0.005715959890473158,,,56.12010407447815,17.317106533479908,4.5387254913526505,0.4348226776041587,30.76569430033366,0.6129847764717148,1.0881600131655926,0.025421726623218507,0.8487388888888888,0.0031991462981609555,0.031711111111111134,0.004646902592448452
First-Epoch Reversal,0.1,,,0.9894938271604938,0.0019193560781979968,0.9779444444444444,0.004916902065927957,0.07519091059311776,0.013975453256035799,,,54.585604111353554,1.5620634930893604,4.913712255355994,0.08126347716462047,30.33359718322754,0.3961634542944299,1.083540546263218,0.023839876981077247,0.8076166666666666,0.004890665712468122,0.030733333333333317,0.007342059202521693
Gradient Ascent,0.01,0.9831666666666666,0.00040414518843274506,0.9985858585858586,0.0003980333473918151,0.9994444444444444,0.0009622504486493905,0.005049957231191608,0.0015842056142547371,0.0,0.0,0.40874234835306805,0.06548677893813928,565.8794181482934,65.99613227835583,38.26972325642904,1.3639748747342797,1.3130446747465367,0.028270456167219703,0.9319777777777777,0.002028295215564419,-1.666666666666483e-05,4.4095855184404984e-05
Gradient Ascent,0.05,0.9831333333333333,0.00045092497528228593,0.9985497076023392,0.0004240875031418502,0.9992222222222221,0.00019245008972984605,0.004671139479454827,0.0003146539258040089,0.0,0.0,2.1796836853027344,0.146778120247933,114.03761356291699,20.083363593752683,37.750771840413414,1.230105507321333,1.3299677863518493,0.031855023551579056,0.8966888888888889,0.0019021430409273156,2.2222222222219774e-05,6.938886664886344e-05
Gradient Ascent,0.1,0.9831,0.0004999999999999866,0.9985370370370371,0.0004724944748952849,0.9988888888888888,0.0003849001794597161,0.005148779100339888,0.000389373206542336,5.555555555554944e-05,9.622504486492702e-05,4.347968022028605,0.13514308345646375,61.71821853955699,2.462214323853249,37.2335319519043,1.410545566000058,1.3544810197709198,0.026732590572114124,0.8525,0.0021017849556983605,5.555555555554943e-06,3.849001794597081e-05
