Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9
exact_retraining,123,5%,0.6350,0.8089,0.0000,0.0000%,0.6264,1.2548,0.1708,303.09,1.0x,0.5728,0.0000,0.7685,0.6375,0.2042,0.0878,0.9270,0.6897,0.1767,-0.0031,0.8126,0.5564,0.1284,-0.1006,0.7469,0.4724,0.0512,-0.2103,0.8232,0.6206,0.1596,-0.0032,0.5757,0.4183,0.4143,0.2394,0.9023,0.7675,0.0219,-0.1691,0.7337,0.5798,0.2941,0.1491,0.8845,0.7782,0.1048,-0.0135,0.9146,0.7556,0.1519,0.0072
gradient_ascent,123,5%,0.5442,0.6451,40.0271,142.0145%,0.6416,1.3497,0.1556,2.19,138.2x,0.5727,0.0001,0.7765,0.7958,0.0458,0.0798,0.8224,0.7371,0.1293,0.1015,0.4181,0.3969,0.2879,0.2939,0.3517,0.3465,0.1772,0.1850,0.7724,0.7801,0.0000,0.0477,0.6005,0.6215,0.2112,0.2146,0.3007,0.3377,0.4518,0.4325,0.7749,0.7227,0.1513,0.1079,0.7102,0.7137,0.1694,0.1608,0.9256,0.9259,-0.0185,-0.0038
first_epoch_reversal,123,5%,,0.7179,31.7606,110.7128%,0.6204,1.1175,0.1392,66.16,4.6x,0.5082,0.0323,0.8202,0.7417,0.0333,-0.0279,0.8368,0.7069,0.1983,0.0902,0.5050,0.4319,0.3268,0.2589,0.7012,0.5197,0.1929,0.0238,0.7363,0.6312,0.0390,-0.0337,0.5351,0.4582,0.2869,0.1859,0.7412,0.6842,0.1184,0.0530,0.8396,0.7395,-0.2395,-0.3072,0.7247,0.6532,0.2258,0.1488,0.7374,0.6630,0.1926,0.1201
