Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9
exact_retraining,123,1%,0.6416,0.8249,0.0000,0.0000%,0.6240,1.2618,0.1740,315.52,1.0x,0.5790,0.0000,0.8801,0.7170,0.1321,-0.0245,0.9614,0.7609,0.1304,-0.0400,0.6099,0.3333,0.3778,0.1007,0.7795,0.5957,-0.1064,-0.2431,0.8030,0.5400,0.2600,0.0149,0.7343,0.5091,0.3091,0.0817,0.8538,0.6481,0.1111,-0.1183,0.8805,0.6957,0.1522,0.0022,0.9008,0.7759,0.1034,-0.0293,0.8458,0.6304,0.2826,0.0753
gradient_ascent,123,1%,0.6299,0.7956,40.2756,140.3949%,0.7740,0.6326,0.0240,0.45,703.9x,0.5781,0.0009,0.8559,0.8302,0.0189,-0.0002,0.9203,0.8696,0.0217,0.0012,0.6898,0.6444,0.0667,0.0208,0.5183,0.4894,0.0000,0.0182,0.8210,0.7800,0.0200,-0.0030,0.8016,0.8182,0.0000,0.0144,0.6826,0.6852,0.0741,0.0530,0.8791,0.8478,0.0000,0.0036,0.8638,0.8621,0.0172,0.0077,0.9235,0.8913,0.0217,-0.0024
first_epoch_reversal,123,1%,,0.7256,,,0.6640,1.0424,0.0980,67.85,4.7x,0.5102,0.0331,0.8043,0.6981,0.0000,-0.0119,0.8151,0.7174,0.2174,0.1108,0.5728,0.5778,0.2222,0.1905,0.5284,0.4894,0.2979,0.1954,0.5770,0.5200,0.1200,0.1244,0.7537,0.6727,0.0364,-0.0313,0.7717,0.7037,0.0556,0.0233,0.7794,0.7174,-0.1957,-0.2485,0.7774,0.8103,0.1034,0.0959,0.8767,0.6957,0.1522,-0.0192
