Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,999,1%,0.9809,0.9959,0.0000,0.0000%,0.9783,0.0683,0.0217,279.12,1.0x,0.9314,0.0000,0.9990,0.9333,0.0667,0.0007,0.9997,0.9730,0.0270,-0.0001,0.9985,1.0000,0.0000,-0.0010,0.9993,1.0000,0.0000,-0.0013,0.9832,0.9636,0.0364,0.0159,0.9991,0.9773,0.0227,-0.0015,0.9986,0.9818,0.0182,0.0007,0.9935,0.9855,0.0145,0.0039,0.9879,0.9672,0.0328,0.0121,0.9997,1.0000,0.0000,-0.0025
gradient_ascent,999,1%,0.9828,0.9985,36.7011,128.0835%,1.0000,0.0045,0.0000,0.44,636.2x,0.9313,0.0000,0.9997,1.0000,0.0000,0.0000,0.9996,1.0000,0.0000,0.0000,0.9975,1.0000,0.0000,0.0000,0.9980,1.0000,0.0000,0.0000,0.9991,1.0000,0.0000,0.0000,0.9976,1.0000,0.0000,0.0000,0.9993,1.0000,0.0000,0.0000,0.9974,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9971,1.0000,0.0000,0.0000
first_epoch_reversal,999,1%,,0.9885,30.1796,108.8269%,0.9733,0.0797,0.0267,59.51,4.7x,0.8804,0.0372,0.9918,0.9333,0.0667,0.0067,0.9948,0.9865,0.0135,0.0039,0.9898,0.9688,0.0312,0.0093,0.9801,0.9811,0.0189,0.0165,0.9960,1.0000,0.0000,0.0026,0.9989,0.9773,0.0227,-0.0002,0.9875,0.9636,0.0364,0.0121,0.9974,1.0000,0.0000,-0.0027,0.9819,0.9672,0.0328,0.0145,0.9667,0.9538,0.0462,0.0289
