Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,1%,0.6310,0.8138,0.0000,0.0000%,0.6360,1.1555,0.1640,318.06,1.0x,0.5664,0.0000,0.7046,0.5122,0.1951,0.0629,0.9148,0.7292,0.2083,0.0099,0.7889,0.5652,0.1304,-0.0725,0.6871,0.4107,0.4107,0.0878,0.6287,0.4600,0.3400,0.1234,0.7983,0.5625,0.1667,0.0119,0.8765,0.7391,-0.0652,-0.1358,0.8732,0.7419,0.0161,-0.0620,0.9252,0.8462,0.0962,0.0135,0.9412,0.7647,0.1373,-0.0788
gradient_ascent,42,1%,0.6223,0.7951,39.1278,138.5394%,0.7860,0.6591,0.0140,0.44,723.0x,0.5608,0.0055,0.7522,0.7073,0.0000,0.0153,0.9113,0.8958,0.0417,0.0133,0.7224,0.6957,0.0000,-0.0061,0.7702,0.8036,0.0179,0.0047,0.7376,0.7800,0.0200,0.0145,0.8170,0.7292,0.0000,-0.0069,0.6710,0.6304,0.0435,0.0696,0.7894,0.7419,0.0161,0.0219,0.9378,0.9423,0.0000,0.0010,0.8420,0.9020,0.0000,0.0204
first_epoch_reversal,42,1%,,0.6944,30.3968,110.1794%,0.6000,1.1404,0.1640,69.64,4.6x,0.5001,0.0505,0.8004,0.6098,0.0000,-0.0704,0.7379,0.7083,0.1042,0.0965,0.5640,0.4783,0.2826,0.1978,0.6640,0.5357,0.0714,-0.0483,0.7857,0.7600,0.0400,-0.0626,0.6014,0.3958,0.1250,0.0632,0.4764,0.4348,0.4130,0.4223,0.5992,0.4677,0.3710,0.2086,0.8426,0.7885,0.1346,0.0681,0.8729,0.8235,0.0588,0.0259
