Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,5%,0.6309,0.8178,0.0000,0.0000%,0.6476,1.1228,0.1656,308.06,1.0x,0.5612,0.0000,0.8965,0.6721,0.0567,-0.1275,0.8759,0.7336,0.1885,0.0490,0.7997,0.5859,0.1406,-0.0841,0.5419,0.3086,0.4961,0.2319,0.7575,0.6145,0.1526,-0.0057,0.8123,0.6522,0.1581,-0.0029,0.8864,0.7415,-0.0254,-0.1453,0.8175,0.7028,0.1285,-0.0080,0.8860,0.7765,0.1843,0.0516,0.9035,0.7020,0.1569,-0.0405
gradient_ascent,42,5%,0.5233,0.6501,38.6260,140.0077%,0.6540,1.1745,0.1592,2.14,143.6x,0.5420,0.0192,0.5773,0.5344,0.1943,0.1917,0.7399,0.7541,0.1680,0.1850,0.6364,0.6133,0.1133,0.0793,0.6962,0.7266,0.0781,0.0776,0.5092,0.5382,0.2289,0.2427,0.8405,0.8577,-0.0474,-0.0312,0.3438,0.3051,0.4110,0.3974,0.6266,0.6265,0.2048,0.1829,0.8953,0.8745,0.0863,0.0424,0.6371,0.6824,0.1765,0.2259
first_epoch_reversal,42,5%,,0.7100,29.7436,110.1089%,0.6384,1.0739,0.1464,66.21,4.7x,0.5078,0.0378,0.6684,0.5142,0.1619,0.0633,0.7693,0.7172,0.1025,0.0656,0.7000,0.6016,0.1562,0.0620,0.5152,0.3945,0.2031,0.1014,0.6573,0.6225,0.1285,0.0650,0.5585,0.4980,0.1937,0.1032,0.7378,0.6737,0.2119,0.1610,0.8259,0.7992,0.0442,-0.0196,0.9020,0.8980,0.0510,0.0067,0.7648,0.6706,0.2118,0.1347
