Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,123,10%,0.9808,0.9964,0.0000,0.0000%,0.9817,0.0816,0.0177,277.75,1.0x,0.8547,0.0000,1.0000,0.9911,0.0071,-0.0006,0.9993,0.9913,0.0087,-0.0007,0.9873,0.9680,0.0320,0.0127,0.9962,0.9824,0.0176,-0.0015,0.9983,0.9823,0.0177,-0.0013,0.9953,0.9853,0.0147,0.0041,0.9904,0.9792,0.0208,0.0096,0.9993,0.9848,0.0137,-0.0016,0.9983,0.9744,0.0239,-0.0025,0.9989,0.9767,0.0216,-0.0004
gradient_ascent,123,10%,0.9836,0.9981,38.2658,137.5643%,0.9993,0.0052,0.0000,4.49,61.8x,0.8547,0.0000,0.9994,0.9982,0.0000,0.0000,0.9987,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9947,1.0000,0.0000,0.0000,0.9970,1.0000,0.0000,0.0000,0.9994,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9977,0.9985,0.0000,0.0000,0.9954,0.9983,0.0000,0.0004,0.9985,0.9983,0.0000,0.0000
first_epoch_reversal,123,10%,,0.9887,30.7493,110.8810%,0.9780,0.0760,0.0200,56.20,4.9x,0.8132,0.0224,0.9914,0.9821,0.0179,0.0078,0.9969,0.9928,0.0072,0.0028,0.9959,0.9865,0.0101,0.0009,0.9793,0.9712,0.0256,0.0183,0.9883,0.9823,0.0177,0.0099,0.9838,0.9853,0.0129,0.0160,0.9985,0.9983,0.0017,0.0006,0.9955,0.9818,0.0167,0.0012,0.9763,0.9488,0.0495,0.0207,0.9792,0.9501,0.0416,0.0146
