Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,123,1%,0.9818,0.9977,0.0000,0.0000%,0.9817,0.0787,0.0183,185.58,1.0x,0.9343,0.0000,0.9893,1.0000,0.0000,0.0100,0.9997,0.9848,0.0152,-0.0009,0.9992,0.9649,0.0351,0.0008,0.9984,0.9825,0.0175,-0.0031,0.9938,0.9821,0.0179,0.0035,0.9998,1.0000,0.0000,-0.0004,1.0000,1.0000,0.0000,0.0000,0.9994,0.9730,0.0270,-0.0016,0.9984,0.9710,0.0290,-0.0024,0.9986,0.9667,0.0333,-0.0002
gradient_ascent,123,1%,0.9836,0.9982,39.1768,133.3747%,1.0000,0.0038,0.0000,0.33,556.3x,0.9343,0.0000,0.9993,1.0000,0.0000,0.0000,0.9988,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9952,1.0000,0.0000,0.0000,0.9972,1.0000,0.0000,0.0000,0.9994,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9977,1.0000,0.0000,0.0000,0.9960,1.0000,0.0000,0.0000,0.9985,1.0000,0.0000,0.0000
first_epoch_reversal,123,1%,,0.9901,31.0185,111.8517%,0.9783,0.0721,0.0183,40.07,4.6x,0.8832,0.0284,0.9809,0.9804,0.0196,0.0184,0.9964,0.9697,0.0303,0.0033,0.9846,0.9474,0.0526,0.0122,0.9850,0.9825,0.0000,0.0127,0.9926,1.0000,0.0000,0.0057,0.9950,1.0000,0.0000,0.0047,0.9944,1.0000,0.0000,0.0048,0.9932,0.9730,0.0270,0.0037,0.9863,0.9710,0.0290,0.0107,0.9924,0.9667,0.0167,0.0014
