Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9
exact_retraining,999,5%,0.6453,0.8225,0.0000,0.0000%,0.6472,1.1545,0.1752,297.32,1.0x,0.5697,0.0000,0.8173,0.6457,0.2008,0.0278,0.8846,0.7371,0.1633,0.0017,0.7300,0.5043,0.2087,-0.0115,0.7894,0.6107,0.1794,-0.0393,0.7767,0.5714,0.2208,-0.0164,0.6793,0.4339,0.2851,0.0422,0.9025,0.7538,0.0115,-0.1165,0.8364,0.6412,0.2748,0.0821,0.8642,0.6949,0.1287,-0.0038,0.9454,0.8602,0.0890,-0.0038
gradient_ascent,999,5%,0.4722,0.5544,39.2593,141.0532%,0.5424,2.1204,0.2800,2.18,136.7x,0.5819,-0.0122,0.5982,0.6024,0.2441,0.2469,0.4190,0.4303,0.4701,0.4673,0.2690,0.2696,0.4435,0.4495,0.3155,0.2939,0.4962,0.4346,0.8249,0.8139,-0.0216,-0.0646,0.4098,0.4132,0.3058,0.3117,0.3591,0.3308,0.4346,0.4270,0.8341,0.8282,0.0878,0.0844,0.5681,0.5074,0.3162,0.2923,0.9450,0.9619,-0.0127,-0.0034
first_epoch_reversal,999,5%,,0.7145,30.3547,111.3381%,0.6252,1.1055,0.1728,64.86,4.6x,0.5143,0.0314,0.8658,0.7913,0.0276,-0.0594,0.7467,0.6574,0.2470,0.1400,0.6570,0.5609,0.1174,0.0491,0.3734,0.2748,0.5382,0.3675,0.7501,0.6537,0.1126,0.0270,0.6837,0.6074,0.0826,0.0229,0.7916,0.7385,-0.0385,-0.0861,0.7461,0.6679,0.1718,0.0589,0.6961,0.5478,0.2978,0.1880,0.8340,0.7712,0.1398,0.0405
