Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,10%,0.6366,0.8239,0.0000,0.0000%,0.6408,1.1721,0.1738,285.18,1.0x,0.5538,0.0000,0.8163,0.5966,0.1786,-0.0502,0.9417,0.7926,0.1211,-0.0157,0.7078,0.5256,0.2068,0.0065,0.7221,0.4780,0.3365,0.0487,0.8341,0.6646,0.0947,-0.0822,0.7004,0.4921,0.3155,0.1092,0.8605,0.7031,0.0186,-0.1185,0.8497,0.7151,0.1041,-0.0401,0.9226,0.7992,0.1511,0.0149,0.8824,0.6580,0.1940,-0.0184
gradient_ascent,42,10%,0.1435,0.1558,38.2685,141.6675%,0.1586,21.4237,0.6560,4.34,65.7x,0.7295,-0.1757,0.0082,0.0063,0.7689,0.7580,0.0102,0.0041,0.9097,0.9158,0.0550,0.0569,0.6755,0.6593,0.1159,0.1128,0.7017,0.6549,0.1611,0.1708,0.5885,0.5908,0.8668,0.8631,-0.0556,-0.0572,0.0270,0.0371,0.6845,0.7150,0.0505,0.0413,0.7780,0.7591,0.2557,0.2763,0.6740,0.6818,0.0089,0.0060,0.8460,0.8551
first_epoch_reversal,42,10%,,0.7284,,,0.6374,1.0463,0.1524,63.32,4.5x,0.5094,0.0304,0.7622,0.6765,0.0462,-0.0325,0.8199,0.7331,0.0801,0.0166,0.5801,0.4839,0.3093,0.1780,0.6618,0.5411,0.0880,-0.0478,0.5913,0.5350,0.2140,0.1298,0.6851,0.5794,0.1131,-0.0251,0.8354,0.7649,0.1093,0.0653,0.6996,0.6110,0.2259,0.1053,0.8103,0.7356,0.1710,0.1010,0.8371,0.7320,0.1540,0.0629
