Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,999,5%,0.9813,0.9968,0.0000,0.0000%,0.9750,0.0832,0.0243,266.80,1.0x,0.8962,0.0000,0.9986,0.9810,0.0190,0.0011,0.9986,0.9914,0.0086,0.0009,0.9995,0.9867,0.0100,-0.0019,0.9988,0.9757,0.0243,-0.0009,0.9923,0.9679,0.0321,0.0068,0.9996,0.9657,0.0343,-0.0021,0.9996,0.9934,0.0066,-0.0004,0.9981,0.9847,0.0153,-0.0008,0.9854,0.9213,0.0787,0.0146,0.9972,0.9768,0.0199,0.0000
gradient_ascent,999,5%,0.9827,0.9985,36.3508,129.4281%,0.9993,0.0043,0.0000,2.13,125.2x,0.8963,-0.0000,0.9996,1.0000,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9973,0.9967,0.0000,0.0002,0.9979,1.0000,0.0000,0.0000,0.9991,1.0000,0.0000,0.0000,0.9975,1.0000,0.0000,0.0000,0.9993,1.0000,0.0000,0.0000,0.9973,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9972,0.9967,0.0000,0.0000
first_epoch_reversal,999,5%,,0.9903,30.0900,108.5038%,0.9783,0.0627,0.0203,57.14,4.7x,0.8472,0.0366,0.9966,0.9873,0.0127,0.0018,0.9945,0.9971,0.0000,0.0042,0.9942,0.9800,0.0200,0.0049,0.9926,0.9826,0.0174,0.0038,0.9937,0.9893,0.0107,0.0049,0.9942,0.9871,0.0129,0.0044,0.9959,0.9901,0.0099,0.0037,0.9843,0.9724,0.0215,0.0104,0.9639,0.9148,0.0820,0.0325,0.9924,0.9834,0.0166,0.0030
