Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9,Retain_Acc_Class10,Delete_Acc_Class10,Forgetting_Class10,Utility_Loss_Class10,Retain_Acc_Class11,Delete_Acc_Class11,Forgetting_Class11,Utility_Loss_Class11,Retain_Acc_Class12,Delete_Acc_Class12,Forgetting_Class12,Utility_Loss_Class12,Retain_Acc_Class13,Delete_Acc_Class13,Forgetting_Class13,Utility_Loss_Class13,Retain_Acc_Class14,Delete_Acc_Class14,Forgetting_Class14,Utility_Loss_Class14,Retain_Acc_Class15,Delete_Acc_Class15,Forgetting_Class15,Utility_Loss_Class15,Retain_Acc_Class16,Delete_Acc_Class16,Forgetting_Class16,Utility_Loss_Class16,Retain_Acc_Class17,Delete_Acc_Class17,Forgetting_Class17,Utility_Loss_Class17,Retain_Acc_Class18,Delete_Acc_Class18,Forgetting_Class18,Utility_Loss_Class18,Retain_Acc_Class19,Delete_Acc_Class19,Forgetting_Class19,Utility_Loss_Class19,Retain_Acc_Class20,Delete_Acc_Class20,Forgetting_Class20,Utility_Loss_Class20,Retain_Acc_Class21,Delete_Acc_Class21,Forgetting_Class21,Utility_Loss_Class21,Retain_Acc_Class22,Delete_Acc_Class22,Forgetting_Class22,Utility_Loss_Class22,Retain_Acc_Class23,Delete_Acc_Class23,Forgetting_Class23,Utility_Loss_Class23,Retain_Acc_Class24,Delete_Acc_Class24,Forgetting_Class24,Utility_Loss_Class24,Retain_Acc_Class25,Delete_Acc_Class25,Forgetting_Class25,Utility_Loss_Class25,Retain_Acc_Class26,Delete_Acc_Class26,Forgetting_Class26,Utility_Loss_Class26,Retain_Acc_Class27,Delete_Acc_Class27,Forgetting_Class27,Utility_Loss_Class27,Retain_Acc_Class28,Delete_Acc_Class28,Forgetting_Class28,Utility_Loss_Class28,Retain_Acc_Class29,Delete_Acc_Class29,Forgetting_Class29,Utility_Loss_Class29,Retain_Acc_Class30,Delete_Acc_Class30,Forgetting_Class30,Utility_Loss_Class30,Retain_Acc_Class31,Delete_Acc_Class31,Forgetting_Class31,Utility_Loss_Class31,Retain_Acc_Class32,Delete_Acc_Class32,Forgetting_Class32,Utility_Loss_Class32,Retain_Acc_Class33,Delete_Acc_Class33,Forgetting_Class33,Utility_Loss_Class33,Retain_Acc_Class34,Delete_Acc_Class34,Forgetting_Class34,Utility_Loss_Class34,Retain_Acc_Class35,Delete_Acc_Class35,Forgetting_Class35,Utility_Loss_Class35,Retain_Acc_Class36,Delete_Acc_Class36,Forgetting_Class36,Utility_Loss_Class36,Retain_Acc_Class37,Delete_Acc_Class37,Forgetting_Class37,Utility_Loss_Class37,Retain_Acc_Class38,Delete_Acc_Class38,Forgetting_Class38,Utility_Loss_Class38,Retain_Acc_Class39,Delete_Acc_Class39,Forgetting_Class39,Utility_Loss_Class39,Retain_Acc_Class40,Delete_Acc_Class40,Forgetting_Class40,Utility_Loss_Class40,Retain_Acc_Class41,Delete_Acc_Class41,Forgetting_Class41,Utility_Loss_Class41,Retain_Acc_Class42,Delete_Acc_Class42,Forgetting_Class42,Utility_Loss_Class42,Retain_Acc_Class43,Delete_Acc_Class43,Forgetting_Class43,Utility_Loss_Class43,Retain_Acc_Class44,Delete_Acc_Class44,Forgetting_Class44,Utility_Loss_Class44,Retain_Acc_Class45,Delete_Acc_Class45,Forgetting_Class45,Utility_Loss_Class45,Retain_Acc_Class46,Delete_Acc_Class46,Forgetting_Class46,Utility_Loss_Class46,Retain_Acc_Class47,Delete_Acc_Class47,Forgetting_Class47,Utility_Loss_Class47,Retain_Acc_Class48,Delete_Acc_Class48,Forgetting_Class48,Utility_Loss_Class48,Retain_Acc_Class49,Delete_Acc_Class49,Forgetting_Class49,Utility_Loss_Class49,Retain_Acc_Class50,Delete_Acc_Class50,Forgetting_Class50,Utility_Loss_Class50,Retain_Acc_Class51,Delete_Acc_Class51,Forgetting_Class51,Utility_Loss_Class51,Retain_Acc_Class52,Delete_Acc_Class52,Forgetting_Class52,Utility_Loss_Class52,Retain_Acc_Class53,Delete_Acc_Class53,Forgetting_Class53,Utility_Loss_Class53,Retain_Acc_Class54,Delete_Acc_Class54,Forgetting_Class54,Utility_Loss_Class54,Retain_Acc_Class55,Delete_Acc_Class55,Forgetting_Class55,Utility_Loss_Class55,Retain_Acc_Class56,Delete_Acc_Class56,Forgetting_Class56,Utility_Loss_Class56,Retain_Acc_Class57,Delete_Acc_Class57,Forgetting_Class57,Utility_Loss_Class57,Retain_Acc_Class58,Delete_Acc_Class58,Forgetting_Class58,Utility_Loss_Class58,Retain_Acc_Class59,Delete_Acc_Class59,Forgetting_Class59,Utility_Loss_Class59,Retain_Acc_Class60,Delete_Acc_Class60,Forgetting_Class60,Utility_Loss_Class60,Retain_Acc_Class61,Delete_Acc_Class61,Forgetting_Class61,Utility_Loss_Class61,Retain_Acc_Class62,Delete_Acc_Class62,Forgetting_Class62,Utility_Loss_Class62,Retain_Acc_Class63,Delete_Acc_Class63,Forgetting_Class63,Utility_Loss_Class63,Retain_Acc_Class64,Delete_Acc_Class64,Forgetting_Class64,Utility_Loss_Class64,Retain_Acc_Class65,Delete_Acc_Class65,Forgetting_Class65,Utility_Loss_Class65,Retain_Acc_Class66,Delete_Acc_Class66,Forgetting_Class66,Utility_Loss_Class66,Retain_Acc_Class67,Delete_Acc_Class67,Forgetting_Class67,Utility_Loss_Class67,Retain_Acc_Class68,Delete_Acc_Class68,Forgetting_Class68,Utility_Loss_Class68,Retain_Acc_Class69,Delete_Acc_Class69,Forgetting_Class69,Utility_Loss_Class69,Retain_Acc_Class70,Delete_Acc_Class70,Forgetting_Class70,Utility_Loss_Class70,Retain_Acc_Class71,Delete_Acc_Class71,Forgetting_Class71,Utility_Loss_Class71,Retain_Acc_Class72,Delete_Acc_Class72,Forgetting_Class72,Utility_Loss_Class72,Retain_Acc_Class73,Delete_Acc_Class73,Forgetting_Class73,Utility_Loss_Class73,Retain_Acc_Class74,Delete_Acc_Class74,Forgetting_Class74,Utility_Loss_Class74,Retain_Acc_Class75,Delete_Acc_Class75,Forgetting_Class75,Utility_Loss_Class75,Retain_Acc_Class76,Delete_Acc_Class76,Forgetting_Class76,Utility_Loss_Class76,Retain_Acc_Class77,Delete_Acc_Class77,Forgetting_Class77,Utility_Loss_Class77,Retain_Acc_Class78,Delete_Acc_Class78,Forgetting_Class78,Utility_Loss_Class78,Retain_Acc_Class79,Delete_Acc_Class79,Forgetting_Class79,Utility_Loss_Class79,Retain_Acc_Class80,Delete_Acc_Class80,Forgetting_Class80,Utility_Loss_Class80,Retain_Acc_Class81,Delete_Acc_Class81,Forgetting_Class81,Utility_Loss_Class81,Retain_Acc_Class82,Delete_Acc_Class82,Forgetting_Class82,Utility_Loss_Class82,Retain_Acc_Class83,Delete_Acc_Class83,Forgetting_Class83,Utility_Loss_Class83,Retain_Acc_Class84,Delete_Acc_Class84,Forgetting_Class84,Utility_Loss_Class84,Retain_Acc_Class85,Delete_Acc_Class85,Forgetting_Class85,Utility_Loss_Class85,Retain_Acc_Class86,Delete_Acc_Class86,Forgetting_Class86,Utility_Loss_Class86,Retain_Acc_Class87,Delete_Acc_Class87,Forgetting_Class87,Utility_Loss_Class87,Retain_Acc_Class88,Delete_Acc_Class88,Forgetting_Class88,Utility_Loss_Class88,Retain_Acc_Class89,Delete_Acc_Class89,Forgetting_Class89,Utility_Loss_Class89,Retain_Acc_Class90,Delete_Acc_Class90,Forgetting_Class90,Utility_Loss_Class90,Retain_Acc_Class91,Delete_Acc_Class91,Forgetting_Class91,Utility_Loss_Class91,Retain_Acc_Class92,Delete_Acc_Class92,Forgetting_Class92,Utility_Loss_Class92,Retain_Acc_Class93,Delete_Acc_Class93,Forgetting_Class93,Utility_Loss_Class93,Retain_Acc_Class94,Delete_Acc_Class94,Forgetting_Class94,Utility_Loss_Class94,Retain_Acc_Class95,Delete_Acc_Class95,Forgetting_Class95,Utility_Loss_Class95,Retain_Acc_Class96,Delete_Acc_Class96,Forgetting_Class96,Utility_Loss_Class96,Retain_Acc_Class97,Delete_Acc_Class97,Forgetting_Class97,Utility_Loss_Class97,Retain_Acc_Class98,Delete_Acc_Class98,Forgetting_Class98,Utility_Loss_Class98,Retain_Acc_Class99,Delete_Acc_Class99,Forgetting_Class99,Utility_Loss_Class99
exact_retraining,123,5%,0.3048,0.9533,0.0000,0.0000%,0.3176,5.1618,0.6224,326.97,1.0x,0.6883,0.0000,0.9634,0.3889,0.5278,0.0280,0.9790,0.3478,0.6522,0.0042,0.9936,0.1765,0.7941,-0.0064,0.9374,0.0952,0.8571,-0.0230,0.9771,0.1053,0.7368,-0.0520,0.9875,0.3000,0.6000,-0.0396,0.9851,0.2759,0.7241,-0.0021,0.9263,0.1200,0.6000,-0.1158,0.9833,0.3182,0.6364,0.0042,0.9165,0.5758,0.4242,0.0685,0.9661,0.4286,0.4643,-0.1483,0.9707,0.1818,0.5455,-0.2008,0.9770,0.3182,0.3182,-0.0900,0.9979,0.2963,0.6296,-0.0803,0.9687,0.2381,0.7143,-0.0313,0.9709,0.1579,0.8421,-0.0042,0.8565,0.3462,0.6538,0.1139,0.9619,0.2963,0.5556,-0.0106,0.9174,0.1429,0.6429,-0.1504,0.9936,0.2759,0.6552,-0.0276,0.9667,0.4500,0.5500,0.0271,0.9854,0.3158,0.6842,-0.0249,0.9456,0.2273,0.7727,0.0105,0.9767,0.5926,0.4074,-0.0085,0.9832,0.4000,0.5600,0.0063,0.9595,0.3226,0.5484,-0.1578,0.9342,0.1034,0.8621,-0.0042,0.9620,0.1923,0.8077,0.0169,0.9895,0.4000,0.5600,-0.0316,0.9893,0.2353,0.6765,-0.0622,0.9811,0.3333,0.6667,-0.0168,0.9895,0.3913,0.5652,-0.0189,0.9399,0.1765,0.6176,-0.2017,0.9707,0.3182,0.6818,0.0105,0.9790,0.0870,0.9130,0.0000,0.9875,0.1579,0.7895,-0.0166,0.9936,0.5000,0.5000,-0.0064,0.9979,0.2917,0.5833,-0.1134,0.9936,0.3448,0.6207,-0.0106,0.5401,0.0385,0.8846,0.4030,0.9524,0.4211,0.4737,-0.0346,0.9816,0.4545,0.4545,0.0123,0.9480,0.2105,0.7368,0.0312,0.9958,0.3571,0.5000,-0.0551,0.9266,0.1304,0.8696,0.0000,0.9749,0.0476,0.8095,-0.0376,0.9265,0.0833,0.9167,0.0105,0.9665,0.6087,0.3913,-0.0377,1.0000,0.7097,0.2581,-0.0064,0.9478,0.3810,0.6190,-0.0042,0.9614,0.1765,0.7059,-0.1953,0.9959,0.2778,0.7222,-0.0083,0.8966,0.3077,0.6923,0.1013,0.9593,0.4242,0.5455,0.0236,0.9895,0.2083,0.7500,-0.0147,0.9277,0.0667,0.8000,0.0021,0.9915,0.4000,0.5667,0.0000,0.9357,0.5000,0.5000,0.0124,0.9153,0.2143,0.7857,0.0614,0.9937,0.3333,0.6667,0.0000,0.9938,0.9375,0.0625,0.0021,0.9916,0.3333,0.6667,-0.0731,0.9916,0.4800,0.5200,0.0021,0.9893,0.3438,0.6250,0.0107,0.9685,0.1667,0.8333,-0.0399,0.9315,0.2778,0.7222,-0.0415,0.9617,0.1667,0.8333,0.0213,0.8025,0.1579,0.7895,0.1331,1.0000,0.6538,0.2692,-0.0127,0.9875,0.6000,0.2500,-0.0208,0.9616,0.3548,0.4839,-0.0725,0.9789,0.4815,0.5185,0.0106,0.7061,,,0.1184,0.9829,0.3939,0.5758,-0.0150,0.9362,0.1667,0.8333,0.0170,1.0000,0.5882,0.3529,-0.0124,0.9449,0.4286,0.5714,0.0191,0.9608,0.0667,0.9333,0.0227,0.9326,0.2000,0.8000,-0.0232,0.9765,0.4839,0.5161,-0.0085,0.9771,,,-0.0062,0.9831,0.3571,0.6071,-0.0742,0.8674,0.4800,0.5200,0.1032,0.9979,0.4706,0.1176,-0.4865,0.9958,0.3000,0.7000,-0.0521,0.9854,0.3000,0.6500,-0.0021,0.9724,0.6552,0.3448,-0.0127,0.9747,0.3462,0.5000,-0.0907,0.9936,0.4194,0.5806,-0.0043,0.9979,0.4000,0.6000,0.0000,0.9790,0.3750,0.5000,-0.1155,0.9482,0.4118,0.5882,0.0248,0.9161,0.2609,0.6957,0.0273,0.9423,0.2188,0.6875,-0.0641,0.9790,0.6250,0.2917,-0.0105,0.7526,0.4000,0.6000,0.2412,0.9979,0.2692,0.6923,-0.0190,0.9957,0.3871,0.5806,-0.0981,0.8870,0.0455,0.9091,0.0335,0.7143,0.0833,0.5833,-0.0651
gradient_ascent,123,5%,0.3032,0.9065,142.0140,138.4457%,0.9080,0.3517,0.0320,2.30,142.2x,0.6719,0.0164,0.9892,0.8889,0.0278,0.0022,0.9811,1.0000,0.0000,0.0021,0.9807,0.9118,0.0588,0.0064,0.8225,0.8095,0.1429,0.0919,0.9293,0.8947,-0.0526,-0.0042,0.9417,0.9500,-0.0500,0.0062,0.9703,1.0000,0.0000,0.0127,0.7305,0.6800,0.0400,0.0800,0.9686,1.0000,-0.0455,0.0188,0.9764,1.0000,0.0000,0.0086,0.7839,0.8929,0.0000,0.0339,0.7113,0.7273,0.0000,0.0586,0.7343,0.5455,0.0909,0.1527,0.8182,0.8889,0.0370,0.0994,0.9353,0.9524,0.0000,0.0021,0.9356,1.0000,0.0000,0.0312,0.9451,1.0000,0.0000,0.0253,0.9154,0.8148,0.0370,0.0359,0.7076,0.7143,0.0714,0.0593,0.9406,0.9310,0.0000,0.0255,0.9938,1.0000,0.0000,0.0000,0.8919,0.8947,0.1053,0.0686,0.9331,1.0000,0.0000,0.0230,0.9598,0.9630,0.0370,0.0085,0.9832,0.9200,0.0400,0.0063,0.7740,0.8387,0.0323,0.0277,0.9023,0.9310,0.0345,0.0276,0.9684,1.0000,0.0000,0.0105,0.9263,0.9200,0.0400,0.0316,0.8948,0.8824,0.0294,0.0322,0.9391,1.0000,0.0000,0.0252,0.9245,0.9130,0.0435,0.0461,0.7232,0.8235,-0.0294,0.0150,0.9351,0.9545,0.0455,0.0460,0.9706,0.9565,0.0435,0.0084,0.9626,0.9474,0.0000,0.0083,0.9831,1.0000,0.0000,0.0042,0.7353,0.6667,0.2083,0.1492,0.9788,0.9655,0.0000,0.0042,0.9262,0.9231,0.0000,0.0169,0.8788,0.7632,0.1316,0.0390,0.9836,0.9091,0.0000,0.0102,0.9647,0.9474,0.0000,0.0146,0.9089,0.8214,0.0357,0.0318,0.9036,0.9565,0.0435,0.0231,0.8956,0.9048,-0.0476,0.0418,0.8929,0.8750,0.1250,0.0441,0.8805,1.0000,0.0000,0.0482,0.9872,0.9677,0.0000,0.0064,0.9311,1.0000,0.0000,0.0125,0.7296,0.8235,0.0588,0.0365,0.9834,1.0000,0.0000,0.0041,0.9958,1.0000,0.0000,0.0021,0.9786,0.9697,0.0000,0.0043,0.9664,0.9583,0.0000,0.0084,0.9234,0.8667,0.0000,0.0064,0.9809,0.9667,0.0000,0.0106,0.9315,0.9444,0.0556,0.0166,0.9322,0.9286,0.0714,0.0445,0.9770,0.9524,0.0476,0.0167,0.9938,1.0000,0.0000,0.0021,0.8935,1.0000,0.0000,0.0251,0.9642,1.0000,0.0000,0.0295,1.0000,0.9688,0.0000,0.0000,0.8908,0.9583,0.0417,0.0378,0.8257,0.8889,0.1111,0.0643,0.9638,1.0000,0.0000,0.0191,0.9272,0.9474,0.0000,0.0083,0.9831,0.9231,0.0000,0.0042,0.9437,0.8000,0.0500,0.0229,0.8422,0.6129,0.2258,0.0469,0.9704,0.9630,0.0370,0.0190,0.8266,0.8889,0.0000,-0.0021,0.9486,0.9091,0.0606,0.0193,0.9468,1.0000,0.0000,0.0064,0.9772,0.9412,0.0000,0.0104,0.9280,0.9643,0.0357,0.0360,0.9856,1.0000,0.0000,-0.0021,0.8947,0.9600,0.0400,0.0147,0.9552,0.9677,0.0323,0.0128,0.9522,1.0000,0.0000,0.0187,0.7691,0.8571,0.1071,0.1398,0.9558,1.0000,0.0000,0.0147,0.4638,0.4706,0.1176,0.0476,0.9354,1.0000,0.0000,0.0083,0.9708,0.9000,0.0500,0.0125,0.9299,0.9655,0.0345,0.0297,0.8059,0.7308,0.1154,0.0781,0.9531,1.0000,0.0000,0.0362,0.9872,1.0000,0.0000,0.0106,0.7290,0.7500,0.1250,0.1345,0.9586,1.0000,0.0000,0.0145,0.8910,0.9130,0.0435,0.0524,0.8718,0.8750,0.0312,0.0064,0.9496,0.9583,-0.0417,0.0189,0.9732,1.0000,0.0000,0.0206,0.9451,0.8462,0.1154,0.0338,0.8337,0.8387,0.1290,0.0640,0.8870,0.9091,0.0455,0.0335,0.5756,0.6250,0.0417,0.0735
first_epoch_reversal,123,5%,,0.6835,109.4805,109.1197%,0.3332,2.9505,0.5592,89.50,3.7x,0.4847,0.1309,0.8707,0.5000,0.4444,0.0884,0.6981,0.3478,0.6522,0.2159,0.6137,0.1471,0.7059,0.2425,0.5511,0.1429,0.6667,0.2213,0.4657,0.0526,0.5263,0.3119,0.7479,0.3000,0.6500,0.1917,0.7346,0.2069,0.7241,0.1826,0.6232,0.3200,0.6000,0.2589,0.8243,0.4545,0.5000,0.1653,0.7495,0.5455,0.4545,0.2206,0.6250,0.2143,0.6429,0.1843,0.4854,0.0455,0.5455,0.1339,0.7824,0.4091,0.2727,0.0565,0.8393,0.5926,0.3333,0.0994,0.7056,0.2857,0.5714,0.1733,0.7775,0.5263,0.4211,0.1019,0.5570,0.3462,0.4231,0.1920,0.6575,0.2593,0.7407,0.3171,0.4131,,,0.2521,0.5648,0.2414,0.7241,0.3758,0.8208,0.4500,0.5500,0.1375,0.8004,0.4211,0.4737,0.1289,0.7134,0.3182,0.5909,0.2029,0.7738,0.6667,0.2963,0.1459,0.7853,0.5200,0.4400,0.1558,0.6119,0.0968,0.7742,0.2132,0.5817,0.1724,0.7241,0.2293,0.7743,0.5000,0.4231,0.1561,0.8421,0.4800,0.4800,0.1326,0.6824,0.2353,0.6176,0.2382,0.5546,0.0833,0.7917,0.3214,0.6583,0.3478,0.5217,0.2935,0.2039,0.0882,0.7647,0.6266,0.5502,0.2273,0.7273,0.2992,0.8113,0.5217,0.3913,0.1090,0.5530,0.1053,0.7895,0.3451,0.7182,0.5357,0.3929,0.1547,0.8025,0.3750,0.4583,0.1176,0.6051,0.2069,0.7241,0.3418,0.5042,0.1538,0.6923,0.3565,0.6017,0.3684,0.3158,0.0887,0.8160,0.5455,0.2727,0.1370,0.7838,0.3158,0.6842,0.1414,0.7415,0.3214,0.6429,0.2161,0.5031,0.1739,0.6957,0.2998,0.5282,0.0952,0.7619,0.3925,0.5882,0.1667,0.7500,0.1681,0.8386,0.6522,0.3478,0.1216,0.8785,0.5161,0.4516,0.1151,0.7766,0.4762,0.4286,0.1232,0.6245,0.3235,0.4412,0.0300,0.5062,0.0556,0.8889,0.4253,0.8249,0.5000,0.5000,0.1688,0.9272,0.4545,0.4545,0.0535,0.8466,0.5417,0.4583,0.0861,0.3553,0.1000,0.5000,0.3617,0.8787,0.5667,0.4000,0.0915,0.7365,0.4444,0.5556,0.1888,0.5975,0.1786,0.8214,0.3326,0.7390,0.1905,0.7619,0.1357,0.8967,0.8125,0.1875,0.0785,0.6409,0.2857,0.6667,0.2672,0.7347,0.3200,0.6800,0.1958,0.7585,0.3125,0.6250,0.1795,0.5840,0.0833,0.7500,0.2164,0.4481,0.2222,0.6111,0.3776,0.4553,0.1333,0.5667,0.3468,0.7152,0.3158,0.2632,0.0437,0.9051,0.7308,0.2308,0.0464,0.7583,0.5000,0.4000,0.2167,0.4755,0.1290,0.8387,0.4861,0.8224,0.4815,0.4444,0.1290,0.5560,0.1852,0.5926,0.2431,0.5182,0.2424,0.6667,0.3961,0.5681,0.4333,0.5000,0.3128,0.8654,0.4706,0.5294,0.1263,0.8814,0.7500,0.2143,0.0911,0.6371,0.1333,0.8667,0.2639,0.6105,0.2800,0.6000,0.2674,0.7207,0.4839,0.5161,0.2090,0.5967,0.0526,0.7368,0.2723,0.7775,0.3214,0.6071,0.1314,0.9200,0.6800,0.3200,0.0358,0.7371,0.2353,0.7059,0.1739,0.4729,,,0.4521,0.7667,0.3500,0.5500,0.2062,0.7389,0.4138,0.4828,0.1592,0.8755,0.5000,0.3077,0.0570,0.6738,0.2903,0.6452,0.2452,0.7979,0.4333,0.4667,0.0532,0.6639,0.2917,0.6250,0.2290,0.7433,0.5882,0.3529,0.0911,0.7086,0.3478,0.5652,0.2621,0.5812,0.2812,0.5938,0.2885,0.9328,0.6250,0.3750,0.0441,0.7856,0.4000,0.6000,0.1753,0.7173,0.3077,0.6538,0.2511,0.7186,0.3548,0.5161,0.1876,0.5628,0.0909,0.8182,0.3389,0.2836,0.0833,0.5000,0.3193
