Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,1%,0.9826,0.9977,0.0000,0.0000%,0.9767,0.0892,0.0217,229.29,1.0x,0.9303,0.0000,0.9997,0.9853,0.0147,0.0003,0.9858,0.9846,0.0154,0.0138,0.9995,0.9821,0.0179,-0.0010,0.9987,1.0000,0.0000,0.0008,0.9983,0.9552,0.0448,-0.0002,0.9996,0.9825,0.0175,-0.0043,0.9993,0.9804,0.0196,0.0007,0.9994,0.9836,0.0164,0.0006,0.9991,0.9333,0.0500,0.0003,0.9998,0.9848,0.0152,-0.0007
gradient_ascent,42,1%,0.9831,0.9990,38.9313,132.4552%,0.9983,0.0068,0.0000,0.45,505.2x,0.9304,-0.0001,1.0000,1.0000,0.0000,0.0000,0.9996,1.0000,0.0000,0.0000,0.9985,1.0000,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9981,1.0000,0.0000,0.0000,0.9953,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9995,0.9833,0.0000,0.0000,0.9992,1.0000,0.0000,0.0000
first_epoch_reversal,42,1%,,0.9913,31.3128,106.5349%,0.9783,0.0630,0.0183,42.06,5.5x,0.8907,0.0227,0.9980,0.9853,0.0147,-0.0031,0.9973,1.0000,0.0000,-0.0021,0.9947,0.9643,0.0357,0.0037,0.9831,1.0000,0.0000,0.0143,0.9849,0.9701,0.0299,0.0144,0.9950,0.9825,0.0175,0.0009,0.9986,1.0000,-0.0196,-0.0003,0.9940,0.9836,0.0164,0.0018,0.9789,0.9333,0.0667,0.0199,0.9874,0.9697,0.0152,-0.0039
