Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,5%,0.9835,0.9991,0.0000,0.0000%,0.9820,0.0828,0.0170,295.53,1.0x,0.8950,0.0000,1.0000,0.9829,0.0171,0.0000,0.9992,0.9877,0.0123,0.0003,0.9998,0.9860,0.0105,-0.0012,0.9997,0.9898,0.0102,-0.0002,0.9964,0.9685,0.0315,0.0016,0.9986,0.9795,0.0171,-0.0033,1.0000,0.9966,0.0034,0.0000,0.9976,0.9651,0.0349,0.0024,0.9993,0.9659,0.0307,0.0002,0.9998,0.9969,0.0031,-0.0007
gradient_ascent,42,5%,0.9831,0.9990,38.2430,134.0094%,0.9990,0.0048,0.0000,2.34,126.0x,0.8950,0.0000,1.0000,1.0000,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9986,0.9965,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9980,1.0000,0.0000,0.0000,0.9953,0.9966,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9995,0.9966,0.0000,0.0000,0.9991,1.0000,0.0000,0.0000
first_epoch_reversal,42,5%,,0.9910,31.2862,106.4443%,0.9803,0.0720,0.0153,72.91,4.1x,0.8524,0.0274,0.9943,0.9795,0.0171,0.0005,0.9894,0.9877,0.0123,0.0056,0.9949,0.9930,0.0070,0.0035,0.9784,0.9626,0.0340,0.0190,0.9942,0.9755,0.0245,0.0050,0.9910,0.9795,0.0205,0.0047,0.9982,0.9933,0.0034,0.0000,0.9852,0.9746,0.0127,0.0111,0.9939,0.9795,0.0205,0.0049,0.9915,0.9781,0.0031,-0.0078
