Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,123,5%,0.9826,0.9990,0.0000,0.0000%,0.9820,0.0716,0.0173,187.49,1.0x,0.8989,0.0000,0.9991,0.9886,0.0076,0.0004,1.0000,0.9882,0.0118,-0.0012,0.9995,0.9866,0.0134,0.0005,0.9995,0.9839,0.0161,-0.0045,0.9987,0.9900,0.0100,-0.0016,0.9979,0.9893,0.0107,0.0016,1.0000,0.9826,0.0174,0.0000,0.9988,0.9667,0.0303,-0.0010,0.9978,0.9730,0.0270,-0.0020,0.9981,0.9728,0.0272,0.0004
gradient_ascent,123,5%,0.9836,0.9982,38.6585,135.5529%,0.9993,0.0049,0.0000,2.06,90.9x,0.8988,0.0001,0.9995,0.9962,0.0000,0.0000,0.9988,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9950,1.0000,0.0000,0.0000,0.9971,1.0000,0.0000,0.0000,0.9994,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9978,0.9970,0.0000,0.0000,0.9957,1.0000,0.0000,0.0002,0.9984,1.0000,0.0000,0.0000
first_epoch_reversal,123,5%,,0.9889,30.9209,111.4999%,0.9780,0.0731,0.0190,38.32,4.9x,0.8466,0.0311,0.9899,0.9773,0.0227,0.0094,0.9886,0.9764,0.0236,0.0111,0.9802,0.9599,0.0368,0.0166,0.9928,0.9839,0.0096,0.0050,0.9935,0.9967,0.0033,0.0047,0.9856,0.9857,0.0107,0.0142,0.9938,0.9826,0.0174,0.0053,0.9823,0.9576,0.0424,0.0145,0.9960,0.9899,0.0068,0.0011,0.9869,0.9728,0.0136,0.0071
