Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Digit0,Delete_Acc_Digit0,Forgetting_Digit0,Utility_Loss_Digit0,Retain_Acc_Digit1,Delete_Acc_Digit1,Forgetting_Digit1,Utility_Loss_Digit1,Retain_Acc_Digit2,Delete_Acc_Digit2,Forgetting_Digit2,Utility_Loss_Digit2,Retain_Acc_Digit3,Delete_Acc_Digit3,Forgetting_Digit3,Utility_Loss_Digit3,Retain_Acc_Digit4,Delete_Acc_Digit4,Forgetting_Digit4,Utility_Loss_Digit4,Retain_Acc_Digit5,Delete_Acc_Digit5,Forgetting_Digit5,Utility_Loss_Digit5,Retain_Acc_Digit6,Delete_Acc_Digit6,Forgetting_Digit6,Utility_Loss_Digit6,Retain_Acc_Digit7,Delete_Acc_Digit7,Forgetting_Digit7,Utility_Loss_Digit7,Retain_Acc_Digit8,Delete_Acc_Digit8,Forgetting_Digit8,Utility_Loss_Digit8,Retain_Acc_Digit9,Delete_Acc_Digit9,Forgetting_Digit9,Utility_Loss_Digit9
exact_retraining,42,10%,0.9812,0.9983,0.0000,0.0000%,0.9818,0.0739,0.0170,271.12,1.0x,0.8504,0.0000,1.0000,0.9904,0.0096,0.0000,0.9997,0.9924,0.0076,-0.0002,0.9998,0.9860,0.0105,-0.0011,0.9944,0.9779,0.0221,0.0051,0.9998,0.9862,0.0121,-0.0017,1.0000,0.9873,0.0091,-0.0047,0.9993,0.9879,0.0121,0.0007,0.9995,0.9779,0.0221,0.0005,0.9972,0.9692,0.0291,0.0023,0.9930,0.9636,0.0348,0.0062
gradient_ascent,42,10%,0.9831,0.9990,37.8084,136.3361%,0.9987,0.0048,0.0002,4.23,64.1x,0.8505,-0.0000,1.0000,1.0000,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9987,0.9965,0.0000,0.0000,0.9995,1.0000,0.0000,0.0000,0.9981,0.9983,0.0000,0.0000,0.9953,0.9946,0.0018,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9994,0.9983,0.0000,0.0000,0.9992,0.9984,0.0000,0.0000
first_epoch_reversal,42,10%,,0.9917,30.2912,106.1449%,0.9828,0.0608,0.0128,54.48,5.0x,0.8043,0.0335,0.9928,0.9872,0.0080,0.0021,0.9967,0.9954,0.0046,-0.0020,0.9942,0.9878,0.0105,0.0043,0.9966,0.9932,0.0051,0.0007,0.9856,0.9724,0.0276,0.0137,0.9860,0.9655,0.0345,0.0094,0.9916,0.9828,0.0155,0.0066,0.9892,0.9731,0.0174,0.0073,0.9947,0.9880,0.0103,0.0042,0.9882,0.9810,-0.0016,-0.0041
