Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9
exact_retraining,123,10%,0.6419,0.8193,0.0000,0.0000%,0.6274,1.2535,0.1740,281.11,1.0x,0.5636,0.0000,0.7623,0.6367,0.2314,0.0918,0.9486,0.8047,0.0901,-0.0247,0.7005,0.4453,0.2525,0.0116,0.6187,0.3353,0.1874,-0.0812,0.8681,0.6210,0.1614,-0.0461,0.7463,0.5664,0.2635,0.0682,0.8797,0.6987,0.0418,-0.1444,0.8387,0.6645,0.2286,0.0426,0.8912,0.7573,0.1204,-0.0203,0.9379,0.7543,0.1581,-0.0159
gradient_ascent,123,10%,0.1551,0.1598,39.5451,143.6483%,0.1614,25.1937,0.6400,4.56,61.6x,0.7134,-0.1498,0.0328,0.0306,0.8375,0.8213,0.0240,0.0322,0.8627,0.8999,0.0483,0.0318,0.6660,0.6638,0.0576,0.0769,0.4458,0.4799,0.2939,0.2495,0.5328,0.5281,0.1346,0.1452,0.6846,0.6799,0.0232,0.0439,0.6967,0.7121,0.1481,0.1538,0.7393,0.7332,0.0281,0.0369,0.8408,0.8428,0.8130,0.7733,0.1390,0.1091
first_epoch_reversal,123,10%,,0.7059,31.2843,110.9957%,0.6224,1.1339,0.1402,62.98,4.5x,0.5079,0.0269,0.7221,0.7017,0.1033,0.0677,0.7047,0.5880,0.3305,0.2221,0.5054,0.4175,0.3300,0.2600,0.6241,0.4576,0.2722,0.0997,0.7748,0.6623,0.0094,-0.0705,0.7362,0.6680,0.0726,-0.0159,0.7667,0.6715,0.0879,0.0316,0.5620,0.4765,0.0598,-0.0318,0.7440,0.6854,0.1709,0.1318,0.9213,0.8705,-0.0171,-0.0635
