Method,Seed,Delete %,Test Acc (General),Retain Set Acc,L2 Dist (Abs),L2 Dist (Rel %),Delete Set Acc,Delete Set Loss,Forgetting Score,Time (s),Speedup,MIA Accuracy,Privacy Gain,Retain_Acc_Class0,Delete_Acc_Class0,Forgetting_Class0,Utility_Loss_Class0,Retain_Acc_Class1,Delete_Acc_Class1,Forgetting_Class1,Utility_Loss_Class1,Retain_Acc_Class2,Delete_Acc_Class2,Forgetting_Class2,Utility_Loss_Class2,Retain_Acc_Class3,Delete_Acc_Class3,Forgetting_Class3,Utility_Loss_Class3,Retain_Acc_Class4,Delete_Acc_Class4,Forgetting_Class4,Utility_Loss_Class4,Retain_Acc_Class5,Delete_Acc_Class5,Forgetting_Class5,Utility_Loss_Class5,Retain_Acc_Class6,Delete_Acc_Class6,Forgetting_Class6,Utility_Loss_Class6,Retain_Acc_Class7,Delete_Acc_Class7,Forgetting_Class7,Utility_Loss_Class7,Retain_Acc_Class8,Delete_Acc_Class8,Forgetting_Class8,Utility_Loss_Class8,Retain_Acc_Class9,Delete_Acc_Class9,Forgetting_Class9,Utility_Loss_Class9
exact_retraining,999,1%,0.6468,0.8306,0.0000,0.0000%,0.6520,1.1905,0.1440,315.86,1.0x,0.5751,0.0000,0.7986,0.4915,0.2881,0.0474,0.9142,0.8043,0.0435,-0.0268,0.7675,0.6739,0.0435,-0.0493,0.7375,0.5106,0.2128,0.0149,0.8141,0.5854,0.1220,-0.0518,0.7150,0.3898,0.3559,0.0061,0.8750,0.7755,-0.0204,-0.0897,0.8374,0.7209,0.1628,0.0813,0.9161,0.7538,0.0615,-0.0571,0.9308,0.8889,0.1111,0.0107
gradient_ascent,999,1%,0.6402,0.8106,39.7594,139.3016%,0.7860,0.6451,0.0100,0.51,613.5x,0.5737,0.0014,0.8367,0.7966,-0.0169,0.0093,0.8658,0.8478,0.0000,0.0216,0.6843,0.6957,0.0217,0.0339,0.7353,0.6809,0.0426,0.0172,0.7758,0.7073,0.0000,-0.0135,0.7132,0.7458,0.0000,0.0079,0.7744,0.7143,0.0408,0.0109,0.9223,0.8837,0.0000,-0.0036,0.8494,0.8000,0.0154,0.0095,0.9491,1.0000,0.0000,-0.0077
first_epoch_reversal,999,1%,,0.7341,31.0025,111.3879%,0.6180,1.0915,0.1840,68.98,4.6x,0.5153,0.0335,0.6766,0.5085,0.2542,0.1309,0.8474,0.7609,0.1739,0.0398,0.6663,0.5870,0.1522,0.0382,0.4280,0.2979,0.5319,0.3158,0.7443,0.5122,0.2195,0.0327,0.6916,0.5085,0.1864,0.0144,0.7881,0.7347,-0.0408,-0.0828,0.8015,0.6744,0.1628,0.0050,0.8586,0.7385,0.1231,0.0237,0.8390,0.8667,0.0889,0.0365
